id,brand,origin,characterstics
1,Starbucks,Colombia,Rich aroma with smooth caramel finish
2,Lavazza,Italy,Full-bodied with a creamy texture
3,Nescafe,Brazil,Light roast with nutty flavor
4,BlueTokai,India,Fruity notes with medium acidity
5,Illy,Ethiopia,Balanced flavor with floral hints
6,Peet's,Kenya,Bold and intense with dark chocolate notes
7,TimHortons,Guatemala,Smooth and slightly sweet
8,McCafe,Vietnam,Strong caffeine with earthy tones
9,Dunkin,Peru,Mild and easy-drinking
10,TataCoffee,India,Spicy aroma with medium roast
11,Caribou,Sumatra,Heavy bodied with syrupy texture
12,Folgers,USA,Classic medium roast with subtle sweetness
13,Jacobs,Germany,Strong aroma and smooth finish
14,Bru,India, Blend of chicory and coffee rich flavor
15,Gevalia,Sweden,Light bright cup with citrus notes
16,Kenco,Costa Rica,Balanced medium roast
17,Nespresso,Uganda,Intense dark roast with smoky taste
18,Bulletproof,Central America,High-quality beans with buttery texture
19,DeathWish,Multiple,Strongest coffee with bold dark flavor
20,GreenMountain,Honduras,Organic medium roast with mild sweetness
